name,cpm,position,promo_position,org_position,type,query,created_at,is_promo,city
Зубная щетка Pure средней жесткости,0,70,,70,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Москва
Зубная щетка жесткая 2 шт. Smokers,0,87,,87,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Москва
Зубная щетка Pure средней жесткости,0,184,,84,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Москва
Зубная щётка для брекетов ортодонтическая 2 шт,2000,3,3.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Москва
Зубная щётка ортодонтическая для брекетов,190,10,10.0,71,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Москва
Зубная щётка ортодонтическая для брекетов,190,13,13.0,71,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Москва
Зубная щётка ортодонтическая для брекетов,190,21,21.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Москва
Зубная щётка для брекетов монопучковая END-TUFT,190,22,22.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Москва
Зубная щётка для брекетов монопучковая END-TUFT,0,25,,25,-,зубная щетка для брекетов,2025-07-07 20:50:00,0,Москва
Зубная щётка и паста для брекетов ORTHO Braces,190,36,36.0,112,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Москва
"Зубная щётка для брекет-систем, ортодонтическая, 6 мил, 1 шт",0,172,,72,-,зубная щетка для брекетов,2025-07-07 20:50:00,0,Москва
Зубная щетка средней жесткости с черной щетиной Classic,515,23,23.0,468,c,зубная щетка,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка жесткая 2 шт. Smokers,0,26,,26,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка жесткая щетина черная Smokers,0,29,,29,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка средней жесткости черная PROFI 2000,190,41,41.0,292,c,зубная щетка,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средняя Exclusive 2 шт,190,44,44.0,293,c,зубная щетка,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка жесткая для отбеливания зубов White,295,69,69.0,449,c,зубная щетка,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средняя Classic 2 шт,330,72,72.0,549,c,зубная щетка,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка жесткая для отбеливания зубов White,190,73,73.0,357,c,зубная щетка,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средней жесткости оранжевая Exclusive,190,85,85.0,403,c,зубная щетка,2025-07-07 20:50:00,1,Санкт-Петербург
Зубные щетки средней жесткости 2шт,190,87,87.0,394,c,зубная щетка,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка жесткая для отбеливания зубов White,312,88,88.0,657,c,зубная щетка,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка жесткая щетина оранжевая Smokers,0,89,,89,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка с натуральной щетиной,0,98,,98,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка Pure средней жесткости 2 шт,0,101,,1,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка средней жесткости фиолетовая Exclusive,0,102,,2,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка и паста отбеливающие для курящих Smokers,0,106,,6,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка мягкая 2 шт,0,107,,7,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка подростковая оранжевая,0,108,,8,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка детская,0,120,,20,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка мягкая 2 штуки,0,123,,23,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка средней жесткости белая PROFI 2000,0,126,,26,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка мягкая Soft 4000,0,127,,27,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка средней жесткости с желтой щетиной Classic,0,133,,33,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка мягкая Soft 4000,0,135,,35,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка с натуральной щетиной,0,140,,40,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка Pure средней жесткости,0,142,,42,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубные щетки мягкие 2 шт,0,161,,61,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка для чувствительных зубов,0,163,,63,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Щетка для очищения зубных протезов двухсторонняя,0,167,,67,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка и паста для подростков 12+,0,180,,80,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка и паста отбеливающая с фтором,0,181,,81,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка с натуральной щетиной,0,184,,84,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка детская,0,187,,87,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка подростковая GenerationZ,0,197,,97,-,зубная щетка,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка средней жесткости фиолетовая Exclusive,345,9,9.0,108,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средней жесткости оранжевая Exclusive,190,11,11.0,107,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средней жесткости с желтой щетиной Classic,261,13,13.0,109,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средней жесткости с черной щетиной Classic,515,15,15.0,132,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средней жесткости classic 1 шт,190,25,25.0,110,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средней жесткости черная PROFI 2000,190,26,26.0,110,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средней жесткости белая PROFI 2000,190,35,35.0,120,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка Pure средней жесткости 2 шт,489,36,36.0,236,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубные щетки средней жесткости 2шт,190,40,40.0,142,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средняя Exclusive 2 шт,190,54,54.0,209,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка жесткая для отбеливания зубов White,190,63,63.0,259,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка для чувствительных десен Active,190,65,65.0,262,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка средняя Classic 2 шт,330,69,69.0,462,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щетка Pure средней жесткости,0,70,,70,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка жесткая 2 шт. Smokers,0,87,,87,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка Pure средней жесткости,0,184,,84,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка для брекетов ортодонтическая 2 шт,2000,3,3.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка ортодонтическая для брекетов,190,10,10.0,71,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка ортодонтическая для брекетов,190,13,13.0,71,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка ортодонтическая для брекетов,190,21,21.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка для брекетов монопучковая END-TUFT,190,22,22.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Санкт-Петербург
Зубная щётка для брекетов монопучковая END-TUFT,0,25,,25,-,зубная щетка для брекетов,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щётка и паста для брекетов ORTHO Braces,190,36,36.0,112,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Санкт-Петербург
"Зубная щётка для брекет-систем, ортодонтическая, 6 мил, 1 шт",0,172,,72,-,зубная щетка для брекетов,2025-07-07 20:50:00,0,Санкт-Петербург
Зубная щетка средней жесткости с черной щетиной Classic,515,23,23.0,468,c,зубная щетка,2025-07-07 20:50:00,1,Казань
Зубная щетка жесткая 2 шт. Smokers,0,26,,26,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щётка жесткая щетина черная Smokers,0,29,,29,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка средней жесткости черная PROFI 2000,190,41,41.0,292,c,зубная щетка,2025-07-07 20:50:00,1,Казань
Зубная щетка средняя Exclusive 2 шт,190,44,44.0,293,c,зубная щетка,2025-07-07 20:50:00,1,Казань
Зубная щётка жесткая для отбеливания зубов White,295,69,69.0,449,c,зубная щетка,2025-07-07 20:50:00,1,Казань
Зубная щетка средняя Classic 2 шт,330,72,72.0,549,c,зубная щетка,2025-07-07 20:50:00,1,Казань
Зубная щётка жесткая для отбеливания зубов White,190,73,73.0,357,c,зубная щетка,2025-07-07 20:50:00,1,Казань
Зубная щетка средней жесткости оранжевая Exclusive,190,85,85.0,403,c,зубная щетка,2025-07-07 20:50:00,1,Казань
Зубные щетки средней жесткости 2шт,190,87,87.0,394,c,зубная щетка,2025-07-07 20:50:00,1,Казань
Зубная щётка жесткая для отбеливания зубов White,312,88,88.0,657,c,зубная щетка,2025-07-07 20:50:00,1,Казань
Зубная щётка жесткая щетина оранжевая Smokers,0,89,,89,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка с натуральной щетиной,0,98,,98,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка Pure средней жесткости 2 шт,0,101,,1,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка средней жесткости фиолетовая Exclusive,0,102,,2,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щётка и паста отбеливающие для курящих Smokers,0,106,,6,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка мягкая 2 шт,0,107,,7,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка подростковая оранжевая,0,108,,8,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка детская,0,120,,20,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щётка мягкая 2 штуки,0,123,,23,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка средней жесткости белая PROFI 2000,0,126,,26,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щётка мягкая Soft 4000,0,127,,27,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка средней жесткости с желтой щетиной Classic,0,133,,33,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щётка мягкая Soft 4000,0,135,,35,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка с натуральной щетиной,0,140,,40,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка Pure средней жесткости,0,142,,42,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубные щетки мягкие 2 шт,0,161,,61,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щётка для чувствительных зубов,0,163,,63,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Щетка для очищения зубных протезов двухсторонняя,0,167,,67,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка и паста для подростков 12+,0,180,,80,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щётка и паста отбеливающая с фтором,0,181,,81,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка с натуральной щетиной,0,184,,84,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка детская,0,187,,87,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щётка подростковая GenerationZ,0,197,,97,-,зубная щетка,2025-07-07 20:50:00,0,Казань
Зубная щетка средней жесткости фиолетовая Exclusive,345,9,9.0,108,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка средней жесткости оранжевая Exclusive,190,11,11.0,107,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка средней жесткости с желтой щетиной Classic,261,13,13.0,109,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка средней жесткости с черной щетиной Classic,515,15,15.0,132,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка средней жесткости classic 1 шт,190,25,25.0,110,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка средней жесткости черная PROFI 2000,190,26,26.0,110,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка средней жесткости белая PROFI 2000,190,35,35.0,120,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка Pure средней жесткости 2 шт,489,36,36.0,236,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубные щетки средней жесткости 2шт,190,40,40.0,142,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка средняя Exclusive 2 шт,190,54,54.0,209,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щётка жесткая для отбеливания зубов White,190,63,63.0,259,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щётка для чувствительных десен Active,190,65,65.0,262,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка средняя Classic 2 шт,330,69,69.0,462,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Казань
Зубная щетка Pure средней жесткости,0,70,,70,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Казань
Зубная щетка жесткая 2 шт. Smokers,0,87,,87,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Казань
Зубная щетка Pure средней жесткости,0,184,,84,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Казань
Зубная щётка для брекетов ортодонтическая 2 шт,2000,3,3.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Казань
Зубная щётка ортодонтическая для брекетов,190,10,10.0,71,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Казань
Зубная щётка ортодонтическая для брекетов,190,13,13.0,71,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Казань
Зубная щётка ортодонтическая для брекетов,190,21,21.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Казань
Зубная щётка для брекетов монопучковая END-TUFT,190,22,22.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Казань
Зубная щётка для брекетов монопучковая END-TUFT,0,25,,25,-,зубная щетка для брекетов,2025-07-07 20:50:00,0,Казань
Зубная щётка и паста для брекетов ORTHO Braces,190,36,36.0,112,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Казань
"Зубная щётка для брекет-систем, ортодонтическая, 6 мил, 1 шт",0,172,,72,-,зубная щетка для брекетов,2025-07-07 20:50:00,0,Казань
Зубная щетка средней жесткости с черной щетиной Classic,515,23,23.0,468,c,зубная щетка,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка жесткая 2 шт. Smokers,0,26,,26,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щётка жесткая щетина черная Smokers,0,29,,29,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка средней жесткости черная PROFI 2000,190,41,41.0,292,c,зубная щетка,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средняя Exclusive 2 шт,190,44,44.0,293,c,зубная щетка,2025-07-07 20:50:00,1,Новосибирск
Зубная щётка жесткая для отбеливания зубов White,295,69,69.0,449,c,зубная щетка,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средняя Classic 2 шт,330,72,72.0,549,c,зубная щетка,2025-07-07 20:50:00,1,Новосибирск
Зубная щётка жесткая для отбеливания зубов White,190,73,73.0,357,c,зубная щетка,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средней жесткости оранжевая Exclusive,190,85,85.0,403,c,зубная щетка,2025-07-07 20:50:00,1,Новосибирск
Зубные щетки средней жесткости 2шт,190,87,87.0,394,c,зубная щетка,2025-07-07 20:50:00,1,Новосибирск
Зубная щётка жесткая для отбеливания зубов White,312,88,88.0,657,c,зубная щетка,2025-07-07 20:50:00,1,Новосибирск
Зубная щётка жесткая щетина оранжевая Smokers,0,89,,89,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка с натуральной щетиной,0,98,,98,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка Pure средней жесткости 2 шт,0,101,,1,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка средней жесткости фиолетовая Exclusive,0,102,,2,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щётка и паста отбеливающие для курящих Smokers,0,106,,6,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка мягкая 2 шт,0,107,,7,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка подростковая оранжевая,0,108,,8,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка детская,0,120,,20,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щётка мягкая 2 штуки,0,123,,23,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка средней жесткости белая PROFI 2000,0,126,,26,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щётка мягкая Soft 4000,0,127,,27,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка средней жесткости с желтой щетиной Classic,0,133,,33,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щётка мягкая Soft 4000,0,135,,35,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка с натуральной щетиной,0,140,,40,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка Pure средней жесткости,0,142,,42,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубные щетки мягкие 2 шт,0,161,,61,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щётка для чувствительных зубов,0,163,,63,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Щетка для очищения зубных протезов двухсторонняя,0,167,,67,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка и паста для подростков 12+,0,180,,80,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щётка и паста отбеливающая с фтором,0,181,,81,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка с натуральной щетиной,0,184,,84,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка детская,0,187,,87,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щётка подростковая GenerationZ,0,197,,97,-,зубная щетка,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка средней жесткости фиолетовая Exclusive,345,9,9.0,108,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средней жесткости оранжевая Exclusive,190,11,11.0,107,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средней жесткости с желтой щетиной Classic,261,13,13.0,109,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средней жесткости с черной щетиной Classic,515,15,15.0,132,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средней жесткости classic 1 шт,190,25,25.0,110,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средней жесткости черная PROFI 2000,190,26,26.0,110,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средней жесткости белая PROFI 2000,190,35,35.0,120,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка Pure средней жесткости 2 шт,489,36,36.0,236,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубные щетки средней жесткости 2шт,190,40,40.0,142,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средняя Exclusive 2 шт,190,54,54.0,209,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щётка жесткая для отбеливания зубов White,190,63,63.0,259,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щётка для чувствительных десен Active,190,65,65.0,262,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка средняя Classic 2 шт,330,69,69.0,462,c,зубная щетка средней жесткости,2025-07-07 20:50:00,1,Новосибирск
Зубная щетка Pure средней жесткости,0,70,,70,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка жесткая 2 шт. Smokers,0,87,,87,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Новосибирск
Зубная щетка Pure средней жесткости,0,184,,84,-,зубная щетка средней жесткости,2025-07-07 20:50:00,0,Новосибирск
Зубная щётка для брекетов ортодонтическая 2 шт,2000,3,3.0,76,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Новосибирск
Зубная щётка ортодонтическая для брекетов,190,10,10.0,71,c,зубная щетка для брекетов,2025-07-07 20:50:00,1,Новосибирск
